MOTIF	LENGTH	GC	EVENT_p14	EVENT_p15	EVENT_p16	EVENT_p17	best_pval
ETV7.H12CORE.0.SM.B	19	0.539323293193883	242091	17942	1526	149	1e-05
ETV7.H12CORE.1.P.C	7	0.503564827039873	500414	0	0	0	1e-05
EVX1.H12CORE.0.SM.B	12	0.34110936270653	317608	27576	1210	17	1e-05
EVX2.H12CORE.0.SM.B	13	0.369567812798472	282561	23086	1538	131	1e-05
EVX2.H12CORE.1.S.B	17	0.304225352112676	389946	61646	6115	570	1e-06
FER3L.H12CORE.0.SM.B	16	0.527018331757538	361478	48604	5395	358	1e-06
FEV.H12CORE.0.S.B	11	0.56758736242237	104291	10155	1480	0	1e-05
FEZF1.H12CORE.0.P.B	12	0.42975	703540	142418	12254	681	1e-06
FIGLA.H12CORE.0.SM.B	11	0.542754010695187	573206	55495	6756	0	1e-06
FLI1.H12CORE.0.PSM.A	12	0.582364341085271	362373	39634	3992	146	1e-05
FLI1.H12CORE.1.P.B	18	0.5625	712141	295469	85375	19834	1e-07
FOS.H12CORE.0.P.B	11	0.459771150554104	424035	68386	17204	0	1e-06
FOS.H12CORE.1.S.C	10	0.510877172518372	133104	8592	236	0	1e-05
FOS.H12CORE.2.S.C	14	0.478585517047055	163454	13658	1272	167	1e-05
FOSB.H12CORE.0.P.B	9	0.421624016838374	447145	54833	0	0	1e-06
FOSB.H12CORE.1.M.C	11	0.486476198762358	188235	7769	965	0	1e-05
FOSB.H12CORE.2.M.C	16	0.472570711678832	242895	20678	1779	136	1e-05
FOSL1.H12CORE.0.P.B	11	0.456	439747	70474	4440	0	1e-06
FOSL2.H12CORE.0.P.B	12	0.481268731268731	426187	78680	5594	260	1e-06
FOXA1.H12CORE.0.P.B	11	0.312749003984064	625081	121878	11133	0	1e-06
FOXA1.H12CORE.1.S.C	16	0.296774809160305	685017	177386	21891	1550	1e-06
FOXA2.H12CORE.0.PSM.A	12	0.331	591229	109412	8806	0	1e-06
FOXA2.H12CORE.1.SM.B	16	0.312758531540848	585479	135049	18279	1977	1e-06
FOXA3.H12CORE.0.PS.A	12	0.318	613687	127364	12833	645	1e-06
FOXA3.H12CORE.1.M.C	19	0.367019727742593	556087	119001	17266	2190	1e-06
FOXB1.H12CORE.0.SM.B	19	0.30609246441165	634356	184911	28473	3148	1e-06
FOXC1.H12CORE.0.S.B	19	0.267732558139535	704162	287390	38954	4018	1e-06
FOXC1.H12CORE.1.S.C	14	0.28780126565235	739700	312258	43860	3973	1e-07
