MOTIF	LENGTH	GC	EVENT_p14	EVENT_p15	EVENT_p16	EVENT_p17	best_pval
IRF3.H12CORE.1.SM.B	23	0.4841227470744	442958	69951	7428	1070	1e-06
IRF4.H12CORE.0.P.B	17	0.413436846819946	788091	278635	38163	4789	1e-06
IRF4.H12CORE.1.S.B	14	0.482362548598413	269205	23916	1350	128	1e-05
IRF4.H12CORE.2.SM.B	17	0.458902331618227	286522	24723	1905	202	1e-05
IRF5.H12CORE.0.SM.B	17	0.47128460163661	327777	32603	2607	207	1e-05
IRF5.H12CORE.1.S.B	11	0.495207667731629	116848	12484	888	0	1e-05
IRF6.H12CORE.0.SM.B	11	0.49602187966186	102090	7819	869	0	1e-05
IRF6.H12CORE.1.S.C	17	0.495956526218193	221429	14342	933	108	1e-05
IRF7.H12CORE.0.S.B	14	0.382739625413147	184949	18911	2185	202	1e-05
IRF7.H12CORE.1.SM.B	19	0.409873566598059	400785	38058	3764	477	1e-05
IRF8.H12CORE.0.P.B	19	0.388378242256359	794457	345371	54305	6126	1e-07
IRF8.H12CORE.1.SM.B	17	0.403102760167411	505777	92597	12229	1541	1e-06
IRF8.H12CORE.2.SM.B	14	0.42598646313364	400457	47518	3850	241	1e-06
IRF9.H12CORE.0.PSM.A	16	0.423911003803042	500852	85434	11794	1283	1e-06
IRX1.H12CORE.0.S.C	9	0.391829807157698	384511	51514	0	0	1e-06
IRX2.H12CORE.0.S.B	10	0.367913798263993	387784	61385	8121	0	1e-06
IRX3.H12CORE.0.M.C	11	0.476516694439301	45198	2247	63	0	1e-05
IRX3.H12CORE.1.S.B	8	0.388470488952537	354153	0	0	0	1e-05
IRX3.H12CORE.2.S.C	21	0.356326923833117	530925	133818	18416	2628	1e-06
IRX5.H12CORE.0.M.C	11	0.514716439339555	39476	898	20	0	1e-04
IRX5.H12CORE.1.SM.B	8	0.387540622706783	370371	0	0	0	1e-05
ISL1.H12CORE.0.PSM.A	12	0.412767932489451	287798	11939	359	23	1e-05
ISL2.H12CORE.0.SM.B	11	0.405988225714366	284192	23491	576	0	1e-05
ISX.H12CORE.0.SM.B	12	0.339963960464414	334658	32886	3347	200	1e-05
ISX.H12CORE.1.S.B	17	0.254002857424377	485334	131290	16964	1669	1e-06
ISX.H12CORE.2.SM.B	17	0.300109713899907	346823	67796	14135	2336	1e-06
ITF2.H12CORE.0.S.B	16	0.582407407407407	461521	57170	6997	1132	1e-06
ITF2.H12CORE.1.PSM.A	10	0.6127	584379	284574	16189	0	1e-06
JDP2.H12CORE.0.SM.B	14	0.481338664177136	264614	23489	2091	189	1e-05
JUN.H12CORE.0.P.B	12	0.497892074198988	384777	76477	5525	260	1e-06
JUN.H12CORE.1.S.C	16	0.508258928571429	232631	20084	1714	177	1e-05
JUNB.H12CORE.0.PM.A	10	0.4288	437529	78048	5457	0	1e-06
JUNB.H12CORE.1.S.C	15	0.506774580335731	149723	10164	1303	147	1e-05
JUND.H12CORE.0.PM.A	11	0.438636363636364	427181	69226	4816	0	1e-06
JUND.H12CORE.1.SM.B	11	0.487936290379753	223587	23516	1781	0	1e-05
KAISO.H12CORE.0.P.B	11	0.628537628537628	46639	2768	539	0	1e-05
KAISO.H12CORE.1.P.B	14	0.60873440285205	72796	8967	819	278	1e-05
KLF1.H12CORE.0.P.B	13	0.746833487797343	486429	97241	15158	993	1e-06
KLF10.H12CORE.0.P.C	15	0.778732106339468	494854	149518	32112	7325	1e-06
KLF10.H12CORE.1.PSM.A	24	0.697816724233508	468453	147139	31303	6067	1e-06
KLF11.H12CORE.0.P.B	15	0.815533333333333	478814	144375	25143	6741	1e-06
KLF11.H12CORE.1.SM.B	24	0.730419456605717	488055	158191	38321	9143	1e-06
KLF12.H12CORE.0.P.C	18	0.810670949321913	568353	198103	55751	16429	1e-07
KLF12.H12CORE.1.PSM.A	13	0.703561635150343	390060	121554	5858	828	1e-06
KLF13.H12CORE.0.PSM.A	15	0.721424997498249	313185	110340	7527	1281	1e-06
KLF13.H12CORE.1.P.C	20	0.701067073170732	702861	331404	79601	22026	1e-07
KLF14.H12CORE.0.PSM.A	14	0.667759873291327	283060	36537	6201	621	1e-05
KLF14.H12CORE.1.P.C	23	0.676091313060904	715538	402966	117965	32048	1e-07
KLF15.H12CORE.0.S.B	14	0.725028587477682	450468	84943	17710	1643	1e-06
KLF15.H12CORE.1.P.C	20	0.74934869739479	730822	355621	142760	48747	1e-08
KLF16.H12CORE.0.SM.B	11	0.702629406909562	259884	35533	8292	0	1e-05
KLF16.H12CORE.1.P.B	23	0.763110937023981	680160	337057	139057	48011	1e-08
KLF17.H12CORE.0.M.C	14	0.60538472145615	373325	24158	1501	55	1e-05
KLF17.H12CORE.1.P.C	11	0.674636363636364	663314	262942	42145	0	1e-06
KLF2.H12CORE.0.S.C	11	0.705019138755981	391843	117216	8274	0	1e-06
KLF3.H12CORE.0.PS.A	18	0.665109553998443	570685	230069	28007	4338	1e-06
KLF3.H12CORE.1.M.C	13	0.710370048967954	331639	54405	7912	1103	1e-06
KLF4.H12CORE.0.PSM.A	11	0.711727272727273	501699	154473	14684	0	1e-06
KLF5.H12CORE.0.PM.A	13	0.662016340373054	526762	102585	13820	1560	1e-06
KLF6.H12CORE.0.P.B	18	0.708711738984191	554873	190566	52312	12293	1e-07
KLF6.H12CORE.1.SM.B	14	0.660931281226183	357482	59465	8810	1665	1e-06
KLF7.H12CORE.0.P.B	10	0.8	412525	80000	29870	0	1e-06
KLF8.H12CORE.0.P.C	13	0.793765913123987	544482	138523	23379	4434	1e-06
KLF8.H12CORE.1.P.C	23	0.725058813278731	720888	375604	165336	64291	1e-08
KLF9.H12CORE.0.P.B	14	0.750359298649037	467027	96595	15985	2293	1e-06
KLF9.H12CORE.1.P.B	23	0.828413043478261	531450	216778	80730	30249	1e-07
KMT2A.H12CORE.0.P.B	23	0.869215643434564	530016	149856	53189	23208	1e-07
KMT2B.H12CORE.0.P.B	8	0.963552104208417	157766	0	0	0	1e-05
LBX2.H12CORE.0.S.B	14	0.344151453684922	326651	40638	4654	542	1e-05
LBX2.H12CORE.1.S.B	17	0.353912096239462	323217	48319	5048	488	1e-06
LBX2.H12CORE.2.M.C	14	0.327070730572359	367527	59754	7722	1024	1e-06
LEF1.H12CORE.0.PSM.A	12	0.400819898029489	449969	67251	7404	561	1e-06
LEF1.H12CORE.1.P.B	15	0.368333333333333	768717	195136	23618	2606	1e-06
LHX1.H12CORE.0.S.C	11	0.338388567321152	252945	18400	497	0	1e-05
LHX1.H12CORE.1.M.C	10	0.437058579144163	69729	2706	151	0	1e-05
LHX2.H12CORE.0.PS.A	9	0.330828779599271	363772	37932	0	0	1e-05
LHX2.H12CORE.1.S.C	19	0.26255683896932	524832	162521	26772	4004	1e-06
LHX3.H12CORE.0.P.B	10	0.219280719280719	481363	107836	10969	0	1e-06
LHX4.H12CORE.0.SM.B	12	0.304952510176391	337751	37450	2676	61	1e-05
LHX5.H12CORE.0.PSM.A	12	0.307086614173228	319354	40089	1423	0	1e-05
LHX6.H12CORE.0.P.B	10	0.395218295218295	312838	21650	2214	0	1e-05
LHX6.H12CORE.1.S.B	14	0.407091128033785	240253	17481	890	39	1e-05
LHX6.H12CORE.2.M.C	13	0.446111261662344	214977	16241	324	18	1e-05
LHX8.H12CORE.0.S.B	13	0.349525474525475	274675	28479	2901	355	1e-05
LHX8.H12CORE.1.M.C	13	0.426980246816228	219365	17528	395	10	1e-05
LHX9.H12CORE.0.PS.A	12	0.325972881875287	302796	29859	1314	28	1e-05
LHX9.H12CORE.1.M.B	12	0.368139407244786	269044	33787	2127	52	1e-05
LMX1A.H12CORE.0.SM.B	12	0.243358409652566	452191	122667	20511	5052	1e-06
LMX1B.H12CORE.0.P.C	8	0.151005461767627	667403	0	0	0	1e-05
LMX1B.H12CORE.1.SM.B	12	0.122596402357076	456390	111240	26294	5052	1e-06
LMX1B.H12CORE.2.S.B	20	0.208790965456156	495305	167224	42334	13324	1e-06
LRRF1.H12CORE.0.P.B	10	0.703859649122807	102911	7755	286	0	1e-05
LYL1.H12CORE.0.P.C	13	0.53510245213302	637029	115152	14892	1605	1e-06
LYL1.H12CORE.1.P.C	15	0.51937984496124	667898	172486	23565	3542	1e-06
MAD4.H12CORE.0.P.C	8	0.654049295774648	130157	0	0	0	1e-05
MAF.H12CORE.0.PM.A	18	0.473739379896282	529563	81941	7858	832	1e-06
MAF.H12CORE.1.PSM.A	13	0.526152042564704	326442	28690	2293	76	1e-05
MAFA.H12CORE.0.PSM.A	18	0.481446215183812	386737	41358	3611	329	1e-05
MAFA.H12CORE.1.M.C	19	0.495934148166625	385336	40371	4598	523	1e-05
MAFB.H12CORE.0.PS.A	20	0.450803149606299	593566	75273	8276	619	1e-06
MAFB.H12CORE.1.P.B	10	0.49040959040959	506310	69225	6295	0	1e-06
MAFF.H12CORE.0.PSM.A	22	0.436598999705796	644653	98457	10450	1242	1e-06
MAFF.H12CORE.1.PSM.A	14	0.473196378431035	433885	65521	8751	952	1e-06
MAFG.H12CORE.0.PSM.A	18	0.44821411488975	401340	50282	5445	597	1e-06
MAFG.H12CORE.1.PSM.A	15	0.47950701630999	389773	47038	5481	535	1e-06
MAFK.H12CORE.0.PS.A	18	0.429647565240786	505029	79555	8556	950	1e-06
MAFK.H12CORE.1.P.B	13	0.475162648296977	475329	80858	11962	1955	1e-06
MAFK.H12CORE.2.S.B	12	0.490862573099415	456835	60922	6084	631	1e-06
MAX.H12CORE.0.PS.A	11	0.568907648494711	171863	17205	1231	0	1e-05
MAX.H12CORE.1.M.C	14	0.486967944138456	495267	78546	7739	873	1e-06
MAX.H12CORE.2.S.C	22	0.600670253941282	170112	17063	1702	111	1e-05
MAZ.H12CORE.0.P.B	13	0.738177805800757	618269	217572	51511	7506	1e-07
MAZ.H12CORE.1.P.B	21	0.717571428571429	763655	386621	159204	60142	1e-08
MBNL2.H12CORE.0.S.C	14	0.551424103652407	267616	28177	3041	640	1e-05
MCR.H12CORE.0.S.B	17	0.444767658223137	342742	45654	6263	878	1e-06
MCR.H12CORE.1.SM.B	9	0.476227610000473	442795	40161	0	0	1e-05
MEF2A.H12CORE.0.P.B	13	0.293014677630062	750931	184788	23776	2199	1e-06
MEF2B.H12CORE.0.PS.A	14	0.378878648233487	781102	237591	35038	10354	1e-06
MEF2B.H12CORE.1.SM.B	18	0.421159850734902	374680	53598	5773	832	1e-06
MEF2C.H12CORE.0.P.B	14	0.356132075471698	736825	146884	17994	1688	1e-06
MEF2C.H12CORE.1.SM.B	17	0.423569152841487	417302	63074	7753	897	1e-06
MEF2D.H12CORE.0.PS.A	13	0.309773392939726	727366	160674	21559	1033	1e-06
MEF2D.H12CORE.1.M.C	16	0.424744010819165	429220	67019	8085	1152	1e-06
MEIS1.H12CORE.0.P.B	13	0.364786667695394	417495	77017	5130	458	1e-06
MEIS1.H12CORE.1.PS.A	11	0.51697699890471	468069	67138	6142	0	1e-06
MEIS2.H12CORE.0.P.C	13	0.368769230769231	417984	65945	5746	441	1e-06
MEIS2.H12CORE.1.PSM.A	12	0.512977789256198	376919	55548	5592	238	1e-06
MEIS2.H12CORE.2.SM.B	14	0.483882189239332	398783	64773	6230	660	1e-06
MEIS3.H12CORE.0.SM.B	8	0.459695611866502	374058	0	0	0	1e-05
MEIS3.H12CORE.1.S.B	20	0.493168604651163	392154	73009	15335	932	1e-06
MEOX1.H12CORE.0.SM.B	13	0.380769230769231	242508	14798	436	21	1e-05
MEOX2.H12CORE.0.SM.B	11	0.351566173454585	266144	15570	892	0	1e-05
MESP1.H12CORE.0.S.C	11	0.598345046474722	597979	95014	9262	0	1e-06
MESP2.H12CORE.0.S.C	14	0.449584622902753	321982	31318	2564	206	1e-05
MGAP.H12CORE.0.P.C	10	0.674074074074074	255733	24055	2900	0	1e-05
MGAP.H12CORE.1.S.B	18	0.458411979363282	416829	48644	4476	414	1e-06
MITF.H12CORE.0.P.B	11	0.573090909090909	366944	27257	1958	0	1e-05
MIXL1.H12CORE.0.SM.B	16	0.23696639632843	485922	91906	13023	794	1e-06
MIXL1.H12CORE.1.S.B	12	0.261199901414325	390441	98203	17370	0	1e-06
MLX.H12CORE.0.PM.A	9	0.568493150684932	290640	16319	0	0	1e-05
MLX.H12CORE.1.SM.B	11	0.570061880351782	193126	20956	1380	0	1e-05
MLXPL.H12CORE.0.S.B	14	0.499456272893773	133806	17388	1557	128	1e-05
MNT.H12CORE.0.PS.A	9	0.673451229006785	188104	21257	0	0	1e-05
MNX1.H12CORE.0.SM.B	12	0.343856779352963	275360	21876	769	31	1e-05
MSGN1.H12CORE.0.PSM.A	12	0.476217980914114	377788	38734	3664	295	1e-05
MSX1.H12CORE.0.SM.B	11	0.337866817155756	232743	15748	313	0	1e-05
MSX1.H12CORE.1.S.C	22	0.313235003587286	557844	170572	24844	2779	1e-06
MSX2.H12CORE.0.SM.B	9	0.293833598918345	321224	39859	0	0	1e-05
MSX2.H12CORE.1.SM.B	20	0.346088129496403	430908	76115	7768	689	1e-06
MTF1.H12CORE.0.SM.B	17	0.542488673898525	307682	27882	2175	188	1e-05
MUSC.H12CORE.0.SM.B	12	0.468494575717046	352944	40467	2897	160	1e-05
MXI1.H12CORE.0.P.B	11	0.623727272727273	199331	29156	3079	0	1e-05
MYB.H12CORE.0.P.B	11	0.530363636363636	245995	37083	5974	0	1e-05
MYBA.H12CORE.0.P.B	15	0.564856711915536	197539	29633	5016	508	1e-05
MYBA.H12CORE.1.PS.A	9	0.5641627543036	169533	23268	0	0	1e-05
MYBA.H12CORE.2.S.B	14	0.468172983479106	147914	6450	207	6	1e-05
MYBB.H12CORE.0.S.B	15	0.474018126888218	38862	3396	271	8	1e-04
MYBB.H12CORE.1.S.B	9	0.485486946033228	42597	3588	0	0	1e-05
MYC.H12CORE.0.P.B	10	0.6689	192563	22507	4248	0	1e-05
MYCN.H12CORE.0.PS.A	11	0.704636363636364	186361	27255	2913	0	1e-05
MYCN.H12CORE.1.M.C	12	0.628051346801347	24182	1817	87	6	1e-04
MYF5.H12CORE.0.P.B	12	0.595001655081099	515097	99749	12779	700	1e-06
MYF6.H12CORE.0.SM.B	14	0.541926244181883	367363	37266	3075	197	1e-05
MYNN.H12CORE.0.P.B	18	0.359411846303232	593549	132133	18902	2760	1e-06
MYOD1.H12CORE.0.P.B	15	0.591066666666667	530309	113228	14893	1652	1e-06
MYOD1.H12CORE.1.PSM.A	10	0.596184738955823	496098	61637	6623	0	1e-06
MYOG.H12CORE.0.PSM.A	16	0.491119089984748	314271	48182	5071	627	1e-06
MYT1L.H12CORE.0.P.C	8	0.318787726358149	509139	0	0	0	1e-05
MZF1.H12CORE.0.P.B	12	0.54425	431045	65425	6974	489	1e-06
NANOG.H12CORE.0.P.B	17	0.355885297061768	696802	162240	20719	2997	1e-06
NANOG.H12CORE.1.P.B	11	0.474363636363636	399265	48592	4350	0	1e-06
NANOG.H12CORE.2.M.C	12	0.314047939403	487868	90402	8004	1048	1e-06
NDF1.H12CORE.0.P.B	11	0.564708019253474	495741	65176	5820	0	1e-06
NDF1.H12CORE.1.S.C	12	0.482178044749555	291120	31662	2616	225	1e-05
NDF2.H12CORE.0.P.B	11	0.587181818181818	523620	80984	7069	0	1e-06
NDF2.H12CORE.1.S.B	11	0.43502538071066	285486	37467	3751	0	1e-05
NF2L1.H12CORE.0.P.B	16	0.406485468245425	502423	79537	11774	2214	1e-06
NF2L2.H12CORE.0.P.B	15	0.521327683615819	421016	52113	6648	958	1e-06
NF2L2.H12CORE.1.P.B	15	0.418	471084	75695	11283	2091	1e-06
NFAC1.H12CORE.0.P.B	16	0.391629016064257	676339	156071	19359	2333	1e-06
NFAC1.H12CORE.1.PS.A	11	0.339167941750646	578157	168764	30461	0	1e-06
NFAC1.H12CORE.2.SM.B	20	0.383111816616444	447177	84876	12589	1696	1e-06
NFAC1.H12CORE.3.SM.B	14	0.473915972256873	269865	26982	2949	134	1e-05
NFAC2.H12CORE.0.P.B	20	0.4152	719709	204028	27150	2905	1e-06
NFAC2.H12CORE.1.PS.A	11	0.384608460846085	705521	182211	20343	0	1e-06
NFAC2.H12CORE.2.S.C	20	0.370345509418254	558874	139253	22428	3357	1e-06
NFAC2.H12CORE.3.M.C	11	0.449447276765433	390897	15621	1008	0	1e-05
NFAC2.H12CORE.4.M.B	19	0.397712522348216	388945	58389	6474	611	1e-06
NFAC3.H12CORE.0.SM.B	14	0.422745328821539	443414	54851	4078	121	1e-06
NFAC3.H12CORE.1.P.C	10	0.3976	786337	304091	81428	0	1e-07
NFAC4.H12CORE.0.P.C	10	0.356936416184971	687608	166649	19570	0	1e-06
NFAC4.H12CORE.1.SM.B	12	0.40460927960928	444470	62678	1673	76	1e-06
NFAT5.H12CORE.0.SM.B	13	0.41499861316568	429130	60912	8239	1042	1e-06
NFAT5.H12CORE.1.PS.A	14	0.342496883064165	562284	118486	18865	4517	1e-06
NFE2.H12CORE.0.P.B	12	0.52681660899654	371561	63545	8355	1068	1e-06
NFE2.H12CORE.1.SM.B	19	0.445539948570173	313212	59826	8327	815	1e-06
NFIA.H12CORE.0.P.B	8	0.6146998982706	421114	0	0	0	1e-05
NFIA.H12CORE.1.PS.A	20	0.535180055401662	482409	74390	5770	717	1e-06
NFIB.H12CORE.0.PSM.A	20	0.538754078303426	445449	61085	6997	688	1e-06
NFIB.H12CORE.1.PS.A	9	0.559475806451613	531694	38443	0	0	1e-05
NFIC.H12CORE.0.PSM.A	17	0.554422858833391	421034	57031	5036	475	1e-06
NFIC.H12CORE.1.PSM.A	8	0.566441441441441	442737	0	0	0	1e-05
NFIL3.H12CORE.0.P.B	10	0.295669687814703	360717	60863	3891	0	1e-06
NFIL3.H12CORE.1.S.B	18	0.433109867072131	168946	8974	481	52	1e-05
NFIX.H12CORE.0.SM.B	17	0.589068897463843	432666	62189	6215	656	1e-06
NFIX.H12CORE.1.S.B	8	0.54978442686722	336415	0	0	0	1e-05
NFKB1.H12CORE.0.PS.A	12	0.612131649445082	401051	68735	9029	632	1e-06
NFKB2.H12CORE.0.PSM.A	16	0.552989130434783	368456	57844	8072	1773	1e-06
NFYA.H12CORE.0.P.B	15	0.463052208835341	334931	68036	10724	1975	1e-06
NFYB.H12CORE.0.P.B	14	0.47723704866562	313212	58362	11482	1857	1e-06
NFYC.H12CORE.0.P.B	15	0.473346693386774	320847	60667	11137	2151	1e-06
NGN1.H12CORE.0.SM.B	14	0.424101303666652	238354	31346	2739	219	1e-05
NGN2.H12CORE.0.P.B	11	0.570818181818182	499197	72150	5435	0	1e-06
NGN2.H12CORE.1.SM.B	14	0.370031578224755	273244	45430	6259	638	1e-06
NKX21.H12CORE.0.P.B	11	0.506090909090909	459117	67150	5773	0	1e-06
NKX22.H12CORE.0.P.B	10	0.519019019019019	395663	43862	4756	0	1e-06
NKX23.H12CORE.0.SM.B	10	0.440068184097062	359428	36585	3616	0	1e-05
NKX25.H12CORE.0.PSM.A	10	0.464900030141666	370924	43301	3716	0	1e-06
NKX25.H12CORE.1.P.B	13	0.514048825426071	550618	81002	9447	923	1e-06
NKX28.H12CORE.0.SM.B	10	0.469031543411752	392309	52395	4712	0	1e-06
NKX31.H12CORE.0.PSM.A	14	0.418716485285872	374428	51768	6184	548	1e-06
NKX32.H12CORE.0.PSM.A	10	0.410054129911788	347390	34889	3616	0	1e-05
NKX32.H12CORE.1.S.B	20	0.410288461538461	439872	69615	7621	790	1e-06
NKX61.H12CORE.0.PS.A	20	0.301554663991976	695185	221825	35904	3516	1e-06
NKX61.H12CORE.1.P.B	8	0.30228184553661	387155	0	0	0	1e-05
NKX61.H12CORE.2.S.B	13	0.295430496207562	455260	59292	6268	740	1e-06
NKX62.H12CORE.0.SM.B	12	0.321070219966159	373763	40870	3852	0	1e-05
NKX63.H12CORE.0.SM.B	14	0.304862990694826	451356	60946	6795	901	1e-06
NOTO.H12CORE.0.SM.B	13	0.402375588617199	268300	27108	2090	134	1e-05
NPAS2.H12CORE.0.M.B	20	0.514841688654354	271631	36230	4310	554	1e-05
NPAS2.H12CORE.1.M.C	11	0.507051979821389	352884	46902	8027	0	1e-06
NPAS2.H12CORE.2.S.B	21	0.578835068163812	150152	18408	1975	196	1e-05
NPAS3.H12CORE.0.P.C	11	0.600036509675064	127153	11146	2600	0	1e-05
NPAS4.H12CORE.0.P.B	11	0.55720531973037	84764	7345	858	0	1e-05
NR1D1.H12CORE.0.P.B	15	0.522933333333333	493059	60423	6004	648	1e-06
NR1D1.H12CORE.1.SM.B	18	0.500260254007912	557731	109768	6942	563	1e-06
NR1D2.H12CORE.0.P.B	18	0.538267875125881	560567	166226	10300	1076	1e-06
NR1D2.H12CORE.1.SM.B	17	0.549254532372404	553375	63149	6838	451	1e-06
NR1H2.H12CORE.0.P.C	18	0.522121415770609	392900	60222	8207	1132	1e-06
NR1H2.H12CORE.1.P.C	19	0.524671052631579	483676	69596	13113	1540	1e-06
NR1H3.H12CORE.0.P.B	17	0.519166225048578	523151	114147	14845	4861	1e-06
NR1H3.H12CORE.1.P.B	13	0.511461538461538	551390	80736	11211	1445	1e-06
NR1H4.H12CORE.0.P.B	20	0.623420479302832	296390	45370	5314	630	1e-06
NR1H4.H12CORE.1.P.B	18	0.549955644267021	339092	50968	5204	613	1e-06
NR1H4.H12CORE.2.P.B	7	0.56274827129616	193665	0	0	0	1e-05
NR1I2.H12CORE.0.M.C	19	0.488458358946097	328004	31263	2971	283	1e-05
NR1I2.H12CORE.1.S.C	12	0.479201446855871	359651	66018	4604	379	1e-06
NR1I3.H12CORE.0.P.B	19	0.524824653448942	553850	96677	11200	1339	1e-06
NR1I3.H12CORE.1.PSM.A	17	0.384810126582278	451101	70554	9704	1190	1e-06
NR1I3.H12CORE.2.M.C	20	0.42471671388102	269642	30566	3078	304	1e-05
NR2C1.H12CORE.0.S.C	12	0.548730978878038	605078	103798	7239	460	1e-06
NR2C1.H12CORE.1.PM.A	16	0.533090538847118	560317	97976	8351	1043	1e-06
NR2C2.H12CORE.0.SM.B	12	0.520324451023933	428750	63862	6102	547	1e-06
NR2C2.H12CORE.1.PS.A	15	0.487624081038046	419240	66577	8896	1145	1e-06
NR2E1.H12CORE.0.SM.B	10	0.347570644439927	518519	113564	13147	0	1e-06
NR2E1.H12CORE.1.S.B	17	0.348023453754492	436585	62133	8259	1190	1e-06
NR2F6.H12CORE.0.P.C	14	0.526642857142857	474585	88267	18235	2245	1e-06
NR2F6.H12CORE.1.PSM.A	12	0.503111416734583	474276	84077	9807	767	1e-06
NR2F6.H12CORE.2.SM.B	18	0.515806210250655	379947	58764	8476	1180	1e-06
NR2F6.H12CORE.3.SM.B	16	0.498847751215559	341826	50689	5776	515	1e-06
NR4A1.H12CORE.0.PSM.A	8	0.375876753507014	504689	0	0	0	1e-05
NR4A2.H12CORE.0.SM.B	10	0.421162814799461	401302	52630	4922	0	1e-06
NR5A2.H12CORE.0.PSM.A	11	0.554899645808737	470432	118150	20462	0	1e-06
NR6A1.H12CORE.0.P.C	14	0.4724888952572	578777	108041	16388	2095	1e-06
NR6A1.H12CORE.1.P.C	12	0.483199598796389	493015	106393	10478	516	1e-06
NR6A1.H12CORE.2.SM.B	19	0.461379321804828	449809	69207	9897	1592	1e-06
NRF1.H12CORE.0.PS.A	16	0.683125	100480	17377	5107	1215	1e-05
NRL.H12CORE.0.SM.B	13	0.491783006656805	341859	34399	1234	168	1e-05
NRL.H12CORE.1.SM.B	19	0.462902046783626	285892	29574	2045	220	1e-05
OLIG1.H12CORE.0.S.B	16	0.376646940598481	264488	47030	8854	1482	1e-06
OLIG2.H12CORE.0.P.B	19	0.567462199041146	526807	116614	15602	1983	1e-06
OLIG2.H12CORE.1.P.B	9	0.55833611389167	489644	101956	0	0	1e-06
OLIG2.H12CORE.2.SM.B	11	0.36745308310992	425167	53697	7184	0	1e-06
OLIG3.H12CORE.0.SM.B	13	0.397294323194687	317568	41230	4874	653	1e-05
ONEC2.H12CORE.0.S.B	12	0.333512666010821	183817	7168	1050	113	1e-05
ONEC2.H12CORE.1.PM.A	13	0.286328418712609	356817	73495	8857	2040	1e-06
ONEC2.H12CORE.2.S.B	13	0.439719052228305	51774	1974	72	3	1e-05
ONEC2.H12CORE.3.P.B	22	0.22338167668907	658347	257539	90478	29986	1e-07
ONEC3.H12CORE.0.S.B	14	0.25515859550471	389558	101441	23481	4318	1e-06
ONEC3.H12CORE.1.S.C	11	0.403129975534931	69358	4370	348	0	1e-05
ONEC3.H12CORE.2.M.C	13	0.278624827857564	391593	81178	9969	928	1e-06
OSR1.H12CORE.0.SM.B	11	0.527634742398143	230806	35342	3563	0	1e-05
OSR2.H12CORE.0.PSM.A	10	0.569554062309102	226727	11139	820	0	1e-05
OSR2.H12CORE.1.M.C	18	0.481857802982567	434056	45299	4355	470	1e-06
OTX1.H12CORE.0.SM.B	12	0.414359588532383	259684	9903	457	20	1e-05
OTX1.H12CORE.1.S.B	14	0.378752042659327	184336	7934	507	72	1e-05
OTX2.H12CORE.0.PSM.A	10	0.4152	360964	37222	2519	0	1e-05
OVOL1.H12CORE.0.SM.B	14	0.421700507614213	48070	5481	649	76	1e-05
OVOL2.H12CORE.0.PSM.A	13	0.416155905037931	52170	7630	1243	78	1e-05
OZF.H12CORE.0.P.B	25	0.367870182555781	658827	208832	95578	72465	1e-08
P53.H12CORE.0.P.B	21	0.537787717826857	386403	60148	7629	1550	1e-06
P53.H12CORE.1.S.C	13	0.466236054022314	342427	37256	3041	231	1e-05
P5F1B.H12CORE.0.S.B	17	0.296701697528436	579847	139298	24634	2840	1e-06
P63.H12CORE.0.PS.A	19	0.540483811722727	337338	55163	9382	1476	1e-06
P63.H12CORE.1.PS.A	12	0.512583333333333	436150	69165	8208	345	1e-06
P73.H12CORE.0.PS.A	19	0.536157894736842	403310	61293	9750	1936	1e-06
P73.H12CORE.1.P.B	11	0.531411677753141	434895	57652	7881	0	1e-06
PATZ1.H12CORE.0.P.B	23	0.732057850115609	686336	327722	140096	55908	1e-08
PATZ1.H12CORE.1.P.C	10	0.784479166666667	595553	194805	55547	0	1e-07
PAX1.H12CORE.0.SM.B	18	0.538960914792718	107779	9470	669	42	1e-05
PAX2.H12CORE.0.SM.B	19	0.544297540758284	125117	9330	595	47	1e-05
PAX3.H12CORE.0.PS.A	14	0.493149707435422	303273	32189	2711	254	1e-05
PAX3.H12CORE.1.SM.B	15	0.487983947119925	111934	8073	669	54	1e-05
PAX3.H12CORE.2.P.C	12	0.303718236173393	514068	82349	6385	263	1e-06
PAX3.H12CORE.3.S.B	20	0.304466077880369	333617	48190	8525	401	1e-06
PAX4.H12CORE.0.SM.B	9	0.308243245263835	635066	29650	0	0	1e-05
PAX4.H12CORE.1.S.C	16	0.256980884557721	445839	89927	15044	4167	1e-06
PAX5.H12CORE.0.PS.A	18	0.520155107336636	170987	18007	1405	138	1e-05
PAX6.H12CORE.0.PSM.A	18	0.500674291052647	129512	10851	778	71	1e-05
PAX7.H12CORE.0.P.B	12	0.498703703703704	373816	32042	4181	129	1e-05
PAX7.H12CORE.1.S.B	14	0.314319768431807	295907	35153	1015	18	1e-05
PAX7.H12CORE.2.PM.A	14	0.265588792921845	358076	55875	5774	410	1e-06
PAX8.H12CORE.0.PSM.A	20	0.575318611294221	128630	10480	626	49	1e-05
PAX9.H12CORE.0.SM.B	17	0.578076680078476	106590	10492	574	36	1e-05
PBX1.H12CORE.0.P.B	12	0.493641231593039	360970	47820	4237	317	1e-06
PBX1.H12CORE.1.P.B	10	0.475508228460794	353885	40941	7500	0	1e-05
PBX1.H12CORE.2.P.B	10	0.488703339882122	455698	54511	7680	0	1e-06
PBX2.H12CORE.0.P.B	11	0.50631708938919	368887	58367	7800	0	1e-06
