Model	Transcription factor
HTF4_MOUSE.H11MO.0.A	Tcf12
HXA10_MOUSE.H11MO.0.C	Hoxa10
HXA13_MOUSE.H11MO.0.C	Hoxa13
HXA1_MOUSE.H11MO.0.C	Hoxa1
HXA9_MOUSE.H11MO.0.B	Hoxa9
HXB4_MOUSE.H11MO.0.A	Hoxb4
HXB7_MOUSE.H11MO.0.C	Hoxb7
HXB8_MOUSE.H11MO.0.C	Hoxb8
HXC9_MOUSE.H11MO.0.A	Hoxc9
IKZF1_MOUSE.H11MO.0.C	Ikzf1
INSM1_MOUSE.H11MO.0.C	Insm1
IRF1_MOUSE.H11MO.0.A	Irf1
IRF2_MOUSE.H11MO.0.B	Irf2
IRF3_MOUSE.H11MO.0.A	Irf3
IRF4_MOUSE.H11MO.0.A	Irf4
IRF7_MOUSE.H11MO.0.C	Irf7
IRF8_MOUSE.H11MO.0.A	Irf8
IRF9_MOUSE.H11MO.0.C	Irf9
ISL1_MOUSE.H11MO.0.A	Isl1
ITF2_MOUSE.H11MO.0.B	Tcf4
JUNB_MOUSE.H11MO.0.A	Junb
JUND_MOUSE.H11MO.0.A	Jund
JUN_MOUSE.H11MO.0.A	Jun
KAISO_MOUSE.H11MO.0.B	Zbtb33
KLF15_MOUSE.H11MO.0.A	Klf15
KLF1_MOUSE.H11MO.0.A	Klf1
KLF3_MOUSE.H11MO.0.A	Klf3
KLF4_MOUSE.H11MO.0.A	Klf4
KLF5_MOUSE.H11MO.0.A	Klf5
KLF6_MOUSE.H11MO.0.B	Klf6
KLF8_MOUSE.H11MO.0.C	Klf8
LEF1_MOUSE.H11MO.0.B	Lef1
LHX2_MOUSE.H11MO.0.A	Lhx2
LHX3_MOUSE.H11MO.0.C	Lhx3
LHX6_MOUSE.H11MO.0.C	Lhx6
LYL1_MOUSE.H11MO.0.A	Lyl1
MAFB_MOUSE.H11MO.0.B	Mafb
MAFF_MOUSE.H11MO.0.A	Maff
MAFG_MOUSE.H11MO.0.A	Mafg
MAFK_MOUSE.H11MO.0.A	Mafk
MAF_MOUSE.H11MO.0.A	Maf
MAX_MOUSE.H11MO.0.A	Max
MAZ_MOUSE.H11MO.0.A	Maz
MBD2_MOUSE.H11MO.0.B	Mbd2
MECP2_MOUSE.H11MO.0.C	Mecp2
MEF2A_MOUSE.H11MO.0.A	Mef2a
MEF2C_MOUSE.H11MO.0.A	Mef2c
MEF2D_MOUSE.H11MO.0.A	Mef2d
MEIS1_MOUSE.H11MO.0.A	Meis1
MEIS2_MOUSE.H11MO.0.B	Meis2
MITF_MOUSE.H11MO.0.A	Mitf
MSGN1_MOUSE.H11MO.0.C	Msgn1
MTF1_MOUSE.H11MO.0.C	Mtf1
MXI1_MOUSE.H11MO.0.A	Mxi1
MYBA_MOUSE.H11MO.0.C	Mybl1
MYB_MOUSE.H11MO.0.A	Myb
MYCN_MOUSE.H11MO.0.A	Mycn
MYC_MOUSE.H11MO.0.A	Myc
MYF6_MOUSE.H11MO.0.C	Myf6
MYOD1_MOUSE.H11MO.0.A	Myod1
MYOG_MOUSE.H11MO.0.A	Myog
NANOG_MOUSE.H11MO.0.A	Nanog
NDF1_MOUSE.H11MO.0.A	Neurod1
NDF2_MOUSE.H11MO.0.A	Neurod2
NF2L1_MOUSE.H11MO.0.C	Nfe2l1
NF2L2_MOUSE.H11MO.0.A	Nfe2l2
NFAC1_MOUSE.H11MO.0.A	Nfatc1
NFAC2_MOUSE.H11MO.0.C	Nfatc2
NFAC3_MOUSE.H11MO.0.B	Nfatc3
NFAC4_MOUSE.H11MO.0.C	Nfatc4
NFE2_MOUSE.H11MO.0.A	Nfe2
NFIA_MOUSE.H11MO.0.C	Nfia
NFIB_MOUSE.H11MO.0.C	Nfib
NFIC_MOUSE.H11MO.0.A	Nfic
NFIL3_MOUSE.H11MO.0.C	Nfil3
NFKB1_MOUSE.H11MO.0.A	Nfkb1
NFKB2_MOUSE.H11MO.0.C	Nfkb2
NFYA_MOUSE.H11MO.0.A	Nfya
NFYB_MOUSE.H11MO.0.A	Nfyb
NFYC_MOUSE.H11MO.0.B	Nfyc
NGN2_MOUSE.H11MO.0.C	Neurog2
NKX21_MOUSE.H11MO.0.A	Nkx2-1
NKX22_MOUSE.H11MO.0.A	Nkx2-2
NKX25_MOUSE.H11MO.0.A	Nkx2-5
NKX28_MOUSE.H11MO.0.C	Nkx2-8
NKX31_MOUSE.H11MO.0.C	Nkx3-1
NKX32_MOUSE.H11MO.0.B	Nkx3-2
NKX61_MOUSE.H11MO.0.A	Nkx6-1
NOBOX_MOUSE.H11MO.0.C	Nobox
NR1D1_MOUSE.H11MO.0.A	Nr1d1
NR1D2_MOUSE.H11MO.0.A	Nr1d2
NR1H3_MOUSE.H11MO.0.A	Nr1h3
NR1H4_MOUSE.H11MO.0.A	Nr1h4
NR1I2_MOUSE.H11MO.0.C	Nr1i2
NR1I3_MOUSE.H11MO.0.C	Nr1i3
NR2C1_MOUSE.H11MO.0.C	Nr2c1
NR2C2_MOUSE.H11MO.0.A	Nr2c2
NR2E3_MOUSE.H11MO.0.C	Nr2e3
NR4A1_MOUSE.H11MO.0.B	Nr4a1
NR4A2_MOUSE.H11MO.0.C	Nr4a2
NR5A2_MOUSE.H11MO.0.A	Nr5a2
NRF1_MOUSE.H11MO.0.A	Nrf1
OLIG2_MOUSE.H11MO.0.A	Olig2
OTX2_MOUSE.H11MO.0.A	Otx2
OVOL1_MOUSE.H11MO.0.C	Ovol1
OVOL2_MOUSE.H11MO.0.C	Ovol2
P53_MOUSE.H11MO.0.A	Tp53
P63_MOUSE.H11MO.0.B	Tp63
P73_MOUSE.H11MO.0.B	Tp73
PAX5_MOUSE.H11MO.0.A	Pax5
PAX6_MOUSE.H11MO.0.C	Pax6
PBX1_MOUSE.H11MO.0.A	Pbx1
PBX2_MOUSE.H11MO.0.C	Pbx2
PBX3_MOUSE.H11MO.0.A	Pbx3
PDX1_MOUSE.H11MO.0.B	Pdx1
PEBB_MOUSE.H11MO.0.C	Cbfb
PIT1_MOUSE.H11MO.0.C	Pou1f1
PITX1_MOUSE.H11MO.0.C	Pitx1
PKNX1_MOUSE.H11MO.0.A	Pknox1
PO2F1_MOUSE.H11MO.0.C	Pou2f1
PO2F2_MOUSE.H11MO.0.B	Pou2f2
PO3F1_MOUSE.H11MO.0.C	Pou3f1
PO3F2_MOUSE.H11MO.0.A	Pou3f2
PO5F1_MOUSE.H11MO.0.A	Pou5f1
PPARA_MOUSE.H11MO.0.A	Ppara
PPARG_MOUSE.H11MO.0.A	Pparg
PRD14_MOUSE.H11MO.0.A	Prdm14
PRD16_MOUSE.H11MO.0.B	Prdm16
PRDM1_MOUSE.H11MO.0.A	Prdm1
PRDM5_MOUSE.H11MO.0.A	Prdm5
PRDM9_MOUSE.H11MO.0.C	Prdm9
PRGR_MOUSE.H11MO.0.A	Pgr
PROP1_MOUSE.H11MO.0.C	Prop1
PRRX2_MOUSE.H11MO.0.C	Prrx2
PTF1A_MOUSE.H11MO.0.A	Ptf1a
RARA_MOUSE.H11MO.0.A	Rara
RARG_MOUSE.H11MO.0.C	Rarg
RELB_MOUSE.H11MO.0.C	Relb
REL_MOUSE.H11MO.0.A	Rel
REST_MOUSE.H11MO.0.A	Rest
RFX1_MOUSE.H11MO.0.A	Rfx1
RFX2_MOUSE.H11MO.0.A	Rfx2
RFX3_MOUSE.H11MO.0.C	Rfx3
RFX6_MOUSE.H11MO.0.C	Rfx6
RORA_MOUSE.H11MO.0.C	Rora
RORG_MOUSE.H11MO.0.B	Rorc
RUNX1_MOUSE.H11MO.0.A	Runx1
RUNX2_MOUSE.H11MO.0.A	Runx2
RUNX3_MOUSE.H11MO.0.A	Runx3
RXRA_MOUSE.H11MO.0.A	Rxra
RXRB_MOUSE.H11MO.0.C	Rxrb
RXRG_MOUSE.H11MO.0.B	Rxrg
SALL4_MOUSE.H11MO.0.A	Sall4
SIX2_MOUSE.H11MO.0.A	Six2
SIX4_MOUSE.H11MO.0.C	Six4
SMAD2_MOUSE.H11MO.0.A	Smad2
SMAD3_MOUSE.H11MO.0.B	Smad3
SMAD4_MOUSE.H11MO.0.A	Smad4
SMCA5_MOUSE.H11MO.0.C	Smarca5
SNAI1_MOUSE.H11MO.0.C	Snai1
SNAI2_MOUSE.H11MO.0.A	Snai2
SOX10_MOUSE.H11MO.0.B	Sox10
SOX2_MOUSE.H11MO.0.A	Sox2
SOX3_MOUSE.H11MO.0.C	Sox3
SOX4_MOUSE.H11MO.0.A	Sox4
SOX5_MOUSE.H11MO.0.C	Sox5
SOX9_MOUSE.H11MO.0.A	Sox9
SP1_MOUSE.H11MO.0.A	Sp1
SP2_MOUSE.H11MO.0.B	Sp2
SP3_MOUSE.H11MO.0.B	Sp3
SP4_MOUSE.H11MO.0.B	Sp4
SP5_MOUSE.H11MO.0.C	Sp5
SP7_MOUSE.H11MO.0.A	Sp7
SPI1_MOUSE.H11MO.0.A	Spi1
SPIB_MOUSE.H11MO.0.A	Spib
SRBP1_MOUSE.H11MO.0.B	Srebf1
SRBP2_MOUSE.H11MO.0.B	Srebf2
SRF_MOUSE.H11MO.0.A	Srf
SRY_MOUSE.H11MO.0.B	Sry
STA5A_MOUSE.H11MO.0.A	Stat5a
STA5B_MOUSE.H11MO.0.A	Stat5b
STAT1_MOUSE.H11MO.0.A	Stat1
STAT2_MOUSE.H11MO.0.A	Stat2
STAT3_MOUSE.H11MO.0.A	Stat3
STAT4_MOUSE.H11MO.0.A	Stat4
STAT6_MOUSE.H11MO.0.A	Stat6
STF1_MOUSE.H11MO.0.B	Nr5a1
SUH_MOUSE.H11MO.0.A	Rbpj
TAF1_MOUSE.H11MO.0.A	Taf1
TAL1_MOUSE.H11MO.0.A	Tal1
TBP_MOUSE.H11MO.0.A	Tbp
TBX20_MOUSE.H11MO.0.C	Tbx20
TBX21_MOUSE.H11MO.0.A	Tbx21
TBX3_MOUSE.H11MO.0.B	Tbx3
TCF7_MOUSE.H11MO.0.A	Tcf7
TEAD1_MOUSE.H11MO.0.A	Tead1
TEAD2_MOUSE.H11MO.0.C	Tead2
TEAD4_MOUSE.H11MO.0.A	Tead4
TF2L1_MOUSE.H11MO.0.C	Tfcp2l1
TF65_MOUSE.H11MO.0.A	Rela
TF7L1_MOUSE.H11MO.0.A	Tcf7l1
TF7L2_MOUSE.H11MO.0.A	Tcf7l2
TFE2_MOUSE.H11MO.0.A	Tcf3
TFE3_MOUSE.H11MO.0.A	Tfe3
TFEB_MOUSE.H11MO.0.C	Tfeb
TGIF1_MOUSE.H11MO.0.A	Tgif1
THA11_MOUSE.H11MO.0.B	Thap11
THA_MOUSE.H11MO.0.C	Thra
TWST1_MOUSE.H11MO.0.B	Twist1
TYY1_MOUSE.H11MO.0.A	Yy1
USF1_MOUSE.H11MO.0.A	Usf1
USF2_MOUSE.H11MO.0.A	Usf2
VDR_MOUSE.H11MO.0.A	Vdr
VSX2_MOUSE.H11MO.0.C	Vsx2
WT1_MOUSE.H11MO.0.B	Wt1
XBP1_MOUSE.H11MO.0.C	Xbp1
ZBT17_MOUSE.H11MO.0.A	Zbtb17
ZBT7A_MOUSE.H11MO.0.B	Zbtb7a
ZEB1_MOUSE.H11MO.0.B	Zeb1
ZFP42_MOUSE.H11MO.0.A	Zfp42
ZFP57_MOUSE.H11MO.0.B	Zfp57
ZFX_MOUSE.H11MO.0.B	Zfx
ZIC1_MOUSE.H11MO.0.B	Zic1
ZIC2_MOUSE.H11MO.0.C	Zic2
ZIC3_MOUSE.H11MO.0.A	Zic3
ZKSC1_MOUSE.H11MO.0.A	Zkscan1
ZN143_MOUSE.H11MO.0.A	Znf143
ZN281_MOUSE.H11MO.0.A	Znf281
ZN322_MOUSE.H11MO.0.B	Znf322
ZN335_MOUSE.H11MO.0.A	Znf335
ZN431_MOUSE.H11MO.0.C	Znf431
