Model	Transcription factor
NFE2_HUMAN.H11MO.0.A	NFE2
NFIC_HUMAN.H11MO.0.A	NFIC
NFIC_HUMAN.H11MO.1.A	NFIC
NFYA_HUMAN.H11MO.0.A	NFYA
NFYB_HUMAN.H11MO.0.A	NFYB
NFYC_HUMAN.H11MO.0.A	NFYC
NKX21_HUMAN.H11MO.0.A	NKX2-1
NR4A1_HUMAN.H11MO.0.A	NR4A1
NRF1_HUMAN.H11MO.0.A	NRF1
OTX2_HUMAN.H11MO.0.A	OTX2
P53_HUMAN.H11MO.0.A	TP53
P53_HUMAN.H11MO.1.A	TP53
P63_HUMAN.H11MO.0.A	TP63
P63_HUMAN.H11MO.1.A	TP63
P73_HUMAN.H11MO.0.A	TP73
P73_HUMAN.H11MO.1.A	TP73
PAX5_HUMAN.H11MO.0.A	PAX5
PBX1_HUMAN.H11MO.0.A	PBX1
PBX3_HUMAN.H11MO.0.A	PBX3
PBX3_HUMAN.H11MO.1.A	PBX3
PDX1_HUMAN.H11MO.0.A	PDX1
PDX1_HUMAN.H11MO.1.A	PDX1
PO2F2_HUMAN.H11MO.0.A	POU2F2
PO3F2_HUMAN.H11MO.0.A	POU3F2
PO5F1_HUMAN.H11MO.0.A	POU5F1
PO5F1_HUMAN.H11MO.1.A	POU5F1
PPARG_HUMAN.H11MO.0.A	PPARG
PPARG_HUMAN.H11MO.1.A	PPARG
PRD14_HUMAN.H11MO.0.A	PRDM14
PRDM1_HUMAN.H11MO.0.A	PRDM1
PRGR_HUMAN.H11MO.0.A	PGR
PRGR_HUMAN.H11MO.1.A	PGR
RARA_HUMAN.H11MO.0.A	RARA
RARA_HUMAN.H11MO.1.A	RARA
RARA_HUMAN.H11MO.2.A	RARA
REST_HUMAN.H11MO.0.A	REST
RFX2_HUMAN.H11MO.0.A	RFX2
RFX2_HUMAN.H11MO.1.A	RFX2
RFX5_HUMAN.H11MO.0.A	RFX5
RFX5_HUMAN.H11MO.1.A	RFX5
RUNX1_HUMAN.H11MO.0.A	RUNX1
