Model	Transcription factor
GATA5_HUMAN.H11MO.0.D	GATA5
GBX1_HUMAN.H11MO.0.D	GBX1
GBX2_HUMAN.H11MO.0.D	GBX2
GCM1_HUMAN.H11MO.0.D	GCM1
GCM2_HUMAN.H11MO.0.D	GCM2
GLI1_HUMAN.H11MO.0.D	GLI1
GLI2_HUMAN.H11MO.0.D	GLI2
GLIS1_HUMAN.H11MO.0.D	GLIS1
GLIS2_HUMAN.H11MO.0.D	GLIS2
GLIS3_HUMAN.H11MO.0.D	GLIS3
GMEB2_HUMAN.H11MO.0.D	GMEB2
GRHL1_HUMAN.H11MO.0.D	GRHL1
GSC2_HUMAN.H11MO.0.D	GSC2
GSC_HUMAN.H11MO.0.D	GSC
GSX1_HUMAN.H11MO.0.D	GSX1
GSX2_HUMAN.H11MO.0.D	GSX2
HAND1_HUMAN.H11MO.0.D	HAND1
HAND1_HUMAN.H11MO.1.D	HAND1
HBP1_HUMAN.H11MO.0.D	HBP1
HES1_HUMAN.H11MO.0.D	HES1
HES5_HUMAN.H11MO.0.D	HES5
HES7_HUMAN.H11MO.0.D	HES7
HESX1_HUMAN.H11MO.0.D	HESX1
HEY1_HUMAN.H11MO.0.D	HEY1
HEY2_HUMAN.H11MO.0.D	HEY2
HIC2_HUMAN.H11MO.0.D	HIC2
HLTF_HUMAN.H11MO.0.D	HLTF
HMBX1_HUMAN.H11MO.0.D	HMBOX1
HME1_HUMAN.H11MO.0.D	EN1
HME2_HUMAN.H11MO.0.D	EN2
HMGA1_HUMAN.H11MO.0.D	HMGA1
HMGA2_HUMAN.H11MO.0.D	HMGA2
HMX1_HUMAN.H11MO.0.D	HMX1
HMX2_HUMAN.H11MO.0.D	HMX2
HMX3_HUMAN.H11MO.0.D	HMX3
HOMEZ_HUMAN.H11MO.0.D	HOMEZ
HSF4_HUMAN.H11MO.0.D	HSF4
HSFY1_HUMAN.H11MO.0.D	HSFY1; HSFY2
HXA11_HUMAN.H11MO.0.D	HOXA11
HXA2_HUMAN.H11MO.0.D	HOXA2
HXA5_HUMAN.H11MO.0.D	HOXA5
HXA7_HUMAN.H11MO.0.D	HOXA7
HXB1_HUMAN.H11MO.0.D	HOXB1
HXB2_HUMAN.H11MO.0.D	HOXB2
HXB3_HUMAN.H11MO.0.D	HOXB3
HXB6_HUMAN.H11MO.0.D	HOXB6
HXC10_HUMAN.H11MO.0.D	HOXC10
HXC11_HUMAN.H11MO.0.D	HOXC11
HXC12_HUMAN.H11MO.0.D	HOXC12
HXC13_HUMAN.H11MO.0.D	HOXC13
HXC6_HUMAN.H11MO.0.D	HOXC6
HXC8_HUMAN.H11MO.0.D	HOXC8
HXD10_HUMAN.H11MO.0.D	HOXD10
HXD11_HUMAN.H11MO.0.D	HOXD11
HXD12_HUMAN.H11MO.0.D	HOXD12
HXD13_HUMAN.H11MO.0.D	HOXD13
HXD3_HUMAN.H11MO.0.D	HOXD3
HXD4_HUMAN.H11MO.0.D	HOXD4
HXD8_HUMAN.H11MO.0.D	HOXD8
HXD9_HUMAN.H11MO.0.D	HOXD9
ID4_HUMAN.H11MO.0.D	ID4
IRF5_HUMAN.H11MO.0.D	IRF5
IRX2_HUMAN.H11MO.0.D	IRX2
IRX3_HUMAN.H11MO.0.D	IRX3
ISL2_HUMAN.H11MO.0.D	ISL2
ISX_HUMAN.H11MO.0.D	ISX
JDP2_HUMAN.H11MO.0.D	JDP2
KLF13_HUMAN.H11MO.0.D	KLF13
KLF14_HUMAN.H11MO.0.D	KLF14
KLF16_HUMAN.H11MO.0.D	KLF16
LBX2_HUMAN.H11MO.0.D	LBX2
LHX4_HUMAN.H11MO.0.D	LHX4
LHX6_HUMAN.H11MO.0.D	LHX6
LHX8_HUMAN.H11MO.0.D	LHX8
LHX9_HUMAN.H11MO.0.D	LHX9
LMX1A_HUMAN.H11MO.0.D	LMX1A
LMX1B_HUMAN.H11MO.0.D	LMX1B
MAFA_HUMAN.H11MO.0.D	MAFA
MCR_HUMAN.H11MO.0.D	NR3C2
MEIS3_HUMAN.H11MO.0.D	MEIS3
MEOX1_HUMAN.H11MO.0.D	MEOX1
MEOX2_HUMAN.H11MO.0.D	MEOX2
MESP1_HUMAN.H11MO.0.D	MESP1
MGAP_HUMAN.H11MO.0.D	MGA
MIXL1_HUMAN.H11MO.0.D	MIXL1
MLXPL_HUMAN.H11MO.0.D	MLXIPL
MLX_HUMAN.H11MO.0.D	MLX
MNX1_HUMAN.H11MO.0.D	MNX1
MSX1_HUMAN.H11MO.0.D	MSX1
MSX2_HUMAN.H11MO.0.D	MSX2
MYBA_HUMAN.H11MO.0.D	MYBL1
MYBB_HUMAN.H11MO.0.D	MYBL2
MYNN_HUMAN.H11MO.0.D	MYNN
NFAT5_HUMAN.H11MO.0.D	NFAT5
NFIA_HUMAN.H11MO.1.D	NFIA
NFIB_HUMAN.H11MO.0.D	NFIB
NFIL3_HUMAN.H11MO.0.D	NFIL3
NGN2_HUMAN.H11MO.0.D	NEUROG2
NKX22_HUMAN.H11MO.0.D	NKX2-2
NKX23_HUMAN.H11MO.0.D	NKX2-3
NKX62_HUMAN.H11MO.0.D	NKX6-2
NOTO_HUMAN.H11MO.0.D	NOTO
NR0B1_HUMAN.H11MO.0.D	NR0B1
NR1D1_HUMAN.H11MO.1.D	NR1D1
NR1H2_HUMAN.H11MO.0.D	NR1H2
NR1I2_HUMAN.H11MO.1.D	NR1I2
NR1I3_HUMAN.H11MO.1.D	NR1I3
NR2E1_HUMAN.H11MO.0.D	NR2E1
NR2F6_HUMAN.H11MO.0.D	NR2F6
NR4A3_HUMAN.H11MO.0.D	NR4A3
NRL_HUMAN.H11MO.0.D	NRL
OLIG1_HUMAN.H11MO.0.D	OLIG1
OLIG3_HUMAN.H11MO.0.D	OLIG3
ONEC2_HUMAN.H11MO.0.D	ONECUT2
ONEC3_HUMAN.H11MO.0.D	ONECUT3
OTX1_HUMAN.H11MO.0.D	OTX1
OVOL2_HUMAN.H11MO.0.D	OVOL2
P5F1B_HUMAN.H11MO.0.D	POU5F1B
PAX1_HUMAN.H11MO.0.D	PAX1
PAX2_HUMAN.H11MO.0.D	PAX2
PAX3_HUMAN.H11MO.0.D	PAX3
PAX4_HUMAN.H11MO.0.D	PAX4
PAX7_HUMAN.H11MO.0.D	PAX7
PAX8_HUMAN.H11MO.0.D	PAX8
PHX2A_HUMAN.H11MO.0.D	PHOX2A
PHX2B_HUMAN.H11MO.0.D	PHOX2B
PITX1_HUMAN.H11MO.0.D	PITX1
PITX2_HUMAN.H11MO.0.D	PITX2
PITX3_HUMAN.H11MO.0.D	PITX3
PLAG1_HUMAN.H11MO.0.D	PLAG1
PLAL1_HUMAN.H11MO.0.D	PLAGL1
PO2F3_HUMAN.H11MO.0.D	POU2F3
PO3F3_HUMAN.H11MO.0.D	POU3F3
PO3F4_HUMAN.H11MO.0.D	POU3F4
PO4F1_HUMAN.H11MO.0.D	POU4F1
PO4F2_HUMAN.H11MO.0.D	POU4F2
PO4F3_HUMAN.H11MO.0.D	POU4F3
PO6F1_HUMAN.H11MO.0.D	POU6F1
PO6F2_HUMAN.H11MO.0.D	POU6F2
PPARD_HUMAN.H11MO.0.D	PPARD
PRDM4_HUMAN.H11MO.0.D	PRDM4
PROP1_HUMAN.H11MO.0.D	PROP1
PROX1_HUMAN.H11MO.0.D	PROX1
PRRX1_HUMAN.H11MO.0.D	PRRX1
PURA_HUMAN.H11MO.0.D	PURA
RARB_HUMAN.H11MO.0.D	RARB
RARG_HUMAN.H11MO.2.D	RARG
RAX2_HUMAN.H11MO.0.D	RAX2
RFX4_HUMAN.H11MO.0.D	RFX4
RHXF1_HUMAN.H11MO.0.D	RHOXF1
RREB1_HUMAN.H11MO.0.D	RREB1
RX_HUMAN.H11MO.0.D	RAX
SCRT1_HUMAN.H11MO.0.D	SCRT1
SCRT2_HUMAN.H11MO.0.D	SCRT2
SHOX2_HUMAN.H11MO.0.D	SHOX2
SHOX_HUMAN.H11MO.0.D	SHOX
SMAD1_HUMAN.H11MO.0.D	SMAD1
SOX11_HUMAN.H11MO.0.D	SOX11
SOX13_HUMAN.H11MO.0.D	SOX13
SOX15_HUMAN.H11MO.0.D	SOX15
SOX18_HUMAN.H11MO.0.D	SOX18
SOX1_HUMAN.H11MO.0.D	SOX1
SOX21_HUMAN.H11MO.0.D	SOX21
SOX7_HUMAN.H11MO.0.D	SOX7
SOX8_HUMAN.H11MO.0.D	SOX8
SPDEF_HUMAN.H11MO.0.D	SPDEF
SPIC_HUMAN.H11MO.0.D	SPIC
SPZ1_HUMAN.H11MO.0.D	SPZ1
TBR1_HUMAN.H11MO.0.D	TBR1
TBX15_HUMAN.H11MO.0.D	TBX15
TBX19_HUMAN.H11MO.0.D	TBX19
TBX1_HUMAN.H11MO.0.D	TBX1
TBX20_HUMAN.H11MO.0.D	TBX20
TBX2_HUMAN.H11MO.0.D	TBX2
TBX4_HUMAN.H11MO.0.D	TBX4
TBX5_HUMAN.H11MO.0.D	TBX5
TEAD2_HUMAN.H11MO.0.D	TEAD2
TEAD3_HUMAN.H11MO.0.D	TEAD3
TEF_HUMAN.H11MO.0.D	TEF
TF2LX_HUMAN.H11MO.0.D	TGIF2LX
TFCP2_HUMAN.H11MO.0.D	TFCP2
TGIF2_HUMAN.H11MO.0.D	TGIF2
THA_HUMAN.H11MO.1.D	THRA
THB_HUMAN.H11MO.1.D	THRB
TLX1_HUMAN.H11MO.0.D	TLX1
TYY2_HUMAN.H11MO.0.D	YY2
UBIP1_HUMAN.H11MO.0.D	UBP1
UNC4_HUMAN.H11MO.0.D	UNCX
VAX1_HUMAN.H11MO.0.D	VAX1
VAX2_HUMAN.H11MO.0.D	VAX2
VENTX_HUMAN.H11MO.0.D	VENTX
VSX1_HUMAN.H11MO.0.D	VSX1
VSX2_HUMAN.H11MO.0.D	VSX2
XBP1_HUMAN.H11MO.0.D	XBP1
ZBED1_HUMAN.H11MO.0.D	ZBED1
ZBT49_HUMAN.H11MO.0.D	ZBTB49
ZBT7B_HUMAN.H11MO.0.D	ZBTB7B
ZBTB4_HUMAN.H11MO.0.D	ZBTB4
ZBTB4_HUMAN.H11MO.1.D	ZBTB4
ZEP1_HUMAN.H11MO.0.D	HIVEP1
ZEP2_HUMAN.H11MO.0.D	HIVEP2
ZF64A_HUMAN.H11MO.0.D	ZFP64
ZFHX3_HUMAN.H11MO.0.D	ZFHX3
ZIC2_HUMAN.H11MO.0.D	ZIC2
ZIC4_HUMAN.H11MO.0.D	ZIC4
ZKSC3_HUMAN.H11MO.0.D	ZKSCAN3
ZN148_HUMAN.H11MO.0.D	ZNF148
ZN219_HUMAN.H11MO.0.D	ZNF219
ZN232_HUMAN.H11MO.0.D	ZNF232
ZN282_HUMAN.H11MO.0.D	ZNF282
ZN333_HUMAN.H11MO.0.D	ZNF333
ZN350_HUMAN.H11MO.1.D	ZNF350
ZN394_HUMAN.H11MO.1.D	ZNF394
ZN410_HUMAN.H11MO.0.D	ZNF410
ZN418_HUMAN.H11MO.1.D	ZNF418
ZN423_HUMAN.H11MO.0.D	ZNF423
ZN524_HUMAN.H11MO.0.D	ZNF524
ZN554_HUMAN.H11MO.1.D	ZNF554
ZN589_HUMAN.H11MO.0.D	ZNF589
ZN652_HUMAN.H11MO.0.D	ZNF652
ZN708_HUMAN.H11MO.1.D	ZNF708
ZN713_HUMAN.H11MO.0.D	ZNF713
ZN740_HUMAN.H11MO.0.D	ZNF740
ZN784_HUMAN.H11MO.0.D	ZNF784
ZSC16_HUMAN.H11MO.0.D	ZSCAN16
ZSCA4_HUMAN.H11MO.0.D	ZSCAN4
