Model	Transcription factor
FOXK1_MOUSE.H11MO.0.A	Foxk1
FOXL2_MOUSE.H11MO.0.C	Foxl2
FOXM1_MOUSE.H11MO.0.B	Foxm1
FOXO1_MOUSE.H11MO.0.A	Foxo1
FOXO3_MOUSE.H11MO.0.B	Foxo3
FOXO4_MOUSE.H11MO.0.C	Foxo4
FOXP2_MOUSE.H11MO.0.A	Foxp2
FOXP3_MOUSE.H11MO.0.D	Foxp3
FOXQ1_MOUSE.H11MO.0.C	Foxq1
FUBP1_MOUSE.H11MO.0.D	Fubp1
GABPA_MOUSE.H11MO.0.A	Gabpa
GATA1_MOUSE.H11MO.0.A	Gata1
GATA1_MOUSE.H11MO.1.A	Gata1
GATA2_MOUSE.H11MO.0.A	Gata2
GATA3_MOUSE.H11MO.0.A	Gata3
GATA4_MOUSE.H11MO.0.A	Gata4
GATA5_MOUSE.H11MO.0.D	Gata5
GATA6_MOUSE.H11MO.0.A	Gata6
GCM1_MOUSE.H11MO.0.D	Gcm1
GCR_MOUSE.H11MO.0.A	Nr3c1
GCR_MOUSE.H11MO.1.A	Nr3c1
GFI1B_MOUSE.H11MO.0.A	Gfi1b
GFI1_MOUSE.H11MO.0.C	Gfi1
GLI1_MOUSE.H11MO.0.C	Gli1
GLI2_MOUSE.H11MO.0.D	Gli2
GLI3_MOUSE.H11MO.0.D	Gli3
GLIS3_MOUSE.H11MO.0.D	Glis3
GRHL2_MOUSE.H11MO.0.A	Grhl2
HAND1_MOUSE.H11MO.0.C	Hand1
HAND1_MOUSE.H11MO.1.C	Hand1
HBP1_MOUSE.H11MO.0.D	Hbp1
HEN1_MOUSE.H11MO.0.C	Nhlh1
HES1_MOUSE.H11MO.0.D	Hes1
HESX1_MOUSE.H11MO.0.D	Hesx1
HEY2_MOUSE.H11MO.0.D	Hey2
HIC1_MOUSE.H11MO.0.C	Hic1
HIF1A_MOUSE.H11MO.0.C	Hif1a
HINFP_MOUSE.H11MO.0.C	Hinfp
HLF_MOUSE.H11MO.0.C	Hlf
HLTF_MOUSE.H11MO.0.D	Hltf
HMGA1_MOUSE.H11MO.0.D	Hmga1
HMGA2_MOUSE.H11MO.0.D	Hmga2
HNF1A_MOUSE.H11MO.0.A	Hnf1a
HNF1B_MOUSE.H11MO.0.A	Hnf1b
HNF1B_MOUSE.H11MO.1.A	Hnf1b
HNF4A_MOUSE.H11MO.0.A	Hnf4a
HNF4G_MOUSE.H11MO.0.C	Hnf4g
HNF6_MOUSE.H11MO.0.A	Onecut1
HSF1_MOUSE.H11MO.0.A	Hsf1
HSF1_MOUSE.H11MO.1.A	Hsf1
HSF2_MOUSE.H11MO.0.A	Hsf2
HTF4_MOUSE.H11MO.0.A	Tcf12
HXA10_MOUSE.H11MO.0.C	Hoxa10
HXA13_MOUSE.H11MO.0.C	Hoxa13
HXA1_MOUSE.H11MO.0.C	Hoxa1
HXA5_MOUSE.H11MO.0.D	Hoxa5
HXA7_MOUSE.H11MO.0.D	Hoxa7
HXA9_MOUSE.H11MO.0.B	Hoxa9
HXB1_MOUSE.H11MO.0.D	Hoxb1
HXB4_MOUSE.H11MO.0.A	Hoxb4
HXB6_MOUSE.H11MO.0.D	Hoxb6
HXB7_MOUSE.H11MO.0.C	Hoxb7
HXB8_MOUSE.H11MO.0.C	Hoxb8
