Model	Transcription factor
SOX2_HUMAN.H11MO.0.A	SOX2
SP1_HUMAN.H11MO.0.A	SP1
SP2_HUMAN.H11MO.0.A	SP2
SP4_HUMAN.H11MO.0.A	SP4
SPI1_HUMAN.H11MO.0.A	SPI1
SPIB_HUMAN.H11MO.0.A	SPIB
SRBP1_HUMAN.H11MO.0.A	SREBF1
SRF_HUMAN.H11MO.0.A	SRF
STA5A_HUMAN.H11MO.0.A	STAT5A
STA5B_HUMAN.H11MO.0.A	STAT5B
STAT1_HUMAN.H11MO.0.A	STAT1
STAT2_HUMAN.H11MO.0.A	STAT2
STAT3_HUMAN.H11MO.0.A	STAT3
STAT4_HUMAN.H11MO.0.A	STAT4
SUH_HUMAN.H11MO.0.A	RBPJ
TAF1_HUMAN.H11MO.0.A	TAF1
TAL1_HUMAN.H11MO.0.A	TAL1
TBP_HUMAN.H11MO.0.A	TBP
TBX21_HUMAN.H11MO.0.A	TBX21
TCF7_HUMAN.H11MO.0.A	TCF7
TEAD1_HUMAN.H11MO.0.A	TEAD1
TEAD4_HUMAN.H11MO.0.A	TEAD4
TF65_HUMAN.H11MO.0.A	RELA
TF7L2_HUMAN.H11MO.0.A	TCF7L2
TFAP4_HUMAN.H11MO.0.A	TFAP4
TFE2_HUMAN.H11MO.0.A	TCF3
TGIF1_HUMAN.H11MO.0.A	TGIF1
TWST1_HUMAN.H11MO.0.A	TWIST1
TYY1_HUMAN.H11MO.0.A	YY1
USF1_HUMAN.H11MO.0.A	USF1
USF2_HUMAN.H11MO.0.A	USF2
VDR_HUMAN.H11MO.0.A	VDR
ZBT17_HUMAN.H11MO.0.A	ZBTB17
ZBT7A_HUMAN.H11MO.0.A	ZBTB7A
ZEB1_HUMAN.H11MO.0.A	ZEB1
ZFP42_HUMAN.H11MO.0.A	ZFP42
ZFX_HUMAN.H11MO.0.A	ZFX
ZN143_HUMAN.H11MO.0.A	ZNF143
ZN263_HUMAN.H11MO.0.A	ZNF263
ZN274_HUMAN.H11MO.0.A	ZNF274
ZN281_HUMAN.H11MO.0.A	ZNF281
ZN335_HUMAN.H11MO.0.A	ZNF335
AHR_HUMAN.H11MO.0.B	AHR
ALX1_HUMAN.H11MO.0.B	ALX1
AP2B_HUMAN.H11MO.0.B	TFAP2B
ARNT_HUMAN.H11MO.0.B	ARNT
ATF1_HUMAN.H11MO.0.B	ATF1
ATF2_HUMAN.H11MO.0.B	ATF2
ATF6A_HUMAN.H11MO.0.B	ATF6
ATOH1_HUMAN.H11MO.0.B	ATOH1
BATF3_HUMAN.H11MO.0.B	BATF3
BHA15_HUMAN.H11MO.0.B	BHLHA15
CEBPG_HUMAN.H11MO.0.B	CEBPG
CRX_HUMAN.H11MO.0.B	CRX
DBP_HUMAN.H11MO.0.B	DBP
E2F2_HUMAN.H11MO.0.B	E2F2
E2F5_HUMAN.H11MO.0.B	E2F5
E2F7_HUMAN.H11MO.0.B	E2F7
EHF_HUMAN.H11MO.0.B	EHF
ELK1_HUMAN.H11MO.0.B	ELK1
EPAS1_HUMAN.H11MO.0.B	EPAS1
ERR3_HUMAN.H11MO.0.B	ESRRG
ETS2_HUMAN.H11MO.0.B	ETS2
ETV2_HUMAN.H11MO.0.B	ETV2
ETV4_HUMAN.H11MO.0.B	ETV4
EVI1_HUMAN.H11MO.0.B	MECOM
FEV_HUMAN.H11MO.0.B	FEV
FOXA3_HUMAN.H11MO.0.B	FOXA3
FOXI1_HUMAN.H11MO.0.B	FOXI1
FOXO3_HUMAN.H11MO.0.B	FOXO3
GLI3_HUMAN.H11MO.0.B	GLI3
HNF4G_HUMAN.H11MO.0.B	HNF4G
HNF6_HUMAN.H11MO.0.B	ONECUT1
HXA9_HUMAN.H11MO.0.B	HOXA9
HXB4_HUMAN.H11MO.0.B	HOXB4
IRF3_HUMAN.H11MO.0.B	IRF3
IRF8_HUMAN.H11MO.0.B	IRF8
KLF3_HUMAN.H11MO.0.B	KLF3
MAFB_HUMAN.H11MO.0.B	MAFB
MAFF_HUMAN.H11MO.0.B	MAFF
MBD2_HUMAN.H11MO.0.B	MBD2
MEIS2_HUMAN.H11MO.0.B	MEIS2
MYOG_HUMAN.H11MO.0.B	MYOG
MZF1_HUMAN.H11MO.0.B	MZF1
NDF2_HUMAN.H11MO.0.B	NEUROD2
NFAC1_HUMAN.H11MO.0.B	NFATC1
NFAC2_HUMAN.H11MO.0.B	NFATC2
NFAC3_HUMAN.H11MO.0.B	NFATC3
NFKB1_HUMAN.H11MO.1.B	NFKB1
NFKB2_HUMAN.H11MO.0.B	NFKB2
NKX25_HUMAN.H11MO.0.B	NKX2-5
NKX61_HUMAN.H11MO.0.B	NKX6-1
NR1D1_HUMAN.H11MO.0.B	NR1D1
NR1H3_HUMAN.H11MO.0.B	NR1H3
NR1H4_HUMAN.H11MO.0.B	NR1H4
NR2C2_HUMAN.H11MO.0.B	NR2C2
NR5A2_HUMAN.H11MO.0.B	NR5A2
NR6A1_HUMAN.H11MO.0.B	NR6A1
OLIG2_HUMAN.H11MO.0.B	OLIG2
PKNX1_HUMAN.H11MO.0.B	PKNOX1
PPARA_HUMAN.H11MO.0.B	PPARA
PTF1A_HUMAN.H11MO.0.B	PTF1A
RARG_HUMAN.H11MO.0.B	RARG
REL_HUMAN.H11MO.0.B	REL
RFX1_HUMAN.H11MO.0.B	RFX1
RFX3_HUMAN.H11MO.0.B	RFX3
RXRG_HUMAN.H11MO.0.B	RXRG
SALL4_HUMAN.H11MO.0.B	SALL4
SMAD3_HUMAN.H11MO.0.B	SMAD3
SMAD4_HUMAN.H11MO.0.B	SMAD4
SOX10_HUMAN.H11MO.0.B	SOX10
SOX3_HUMAN.H11MO.0.B	SOX3
SOX4_HUMAN.H11MO.0.B	SOX4
SOX9_HUMAN.H11MO.0.B	SOX9
SP3_HUMAN.H11MO.0.B	SP3
SRBP2_HUMAN.H11MO.0.B	SREBF2
SRY_HUMAN.H11MO.0.B	SRY
STAT6_HUMAN.H11MO.0.B	STAT6
STF1_HUMAN.H11MO.0.B	NR5A1
TF7L1_HUMAN.H11MO.0.B	TCF7L1
TFE3_HUMAN.H11MO.0.B	TFE3
THA11_HUMAN.H11MO.0.B	THAP11
ZIC1_HUMAN.H11MO.0.B	ZIC1
ZIC3_HUMAN.H11MO.0.B	ZIC3
ZKSC1_HUMAN.H11MO.0.B	ZKSCAN1
ZN322_HUMAN.H11MO.0.B	ZNF322
AIRE_HUMAN.H11MO.0.C	AIRE
ARI5B_HUMAN.H11MO.0.C	ARID5B
CDX1_HUMAN.H11MO.0.C	CDX1
CEBPD_HUMAN.H11MO.0.C	CEBPD
CLOCK_HUMAN.H11MO.0.C	CLOCK
COT1_HUMAN.H11MO.0.C	NR2F1
CREM_HUMAN.H11MO.0.C	CREM
CUX1_HUMAN.H11MO.0.C	CUX1
DLX3_HUMAN.H11MO.0.C	DLX3
ELF2_HUMAN.H11MO.0.C	ELF2
ETV5_HUMAN.H11MO.0.C	ETV5
FEZF1_HUMAN.H11MO.0.C	FEZF1
FOXC1_HUMAN.H11MO.0.C	FOXC1
FOXJ2_HUMAN.H11MO.0.C	FOXJ2
FOXO4_HUMAN.H11MO.0.C	FOXO4
FOXP2_HUMAN.H11MO.0.C	FOXP2
FOXQ1_HUMAN.H11MO.0.C	FOXQ1
GFI1_HUMAN.H11MO.0.C	GFI1
HEN1_HUMAN.H11MO.0.C	NHLH1
HIC1_HUMAN.H11MO.0.C	HIC1
HIF1A_HUMAN.H11MO.0.C	HIF1A
HINFP_HUMAN.H11MO.0.C	HINFP
HLF_HUMAN.H11MO.0.C	HLF
HNF1A_HUMAN.H11MO.0.C	HNF1A
HXA10_HUMAN.H11MO.0.C	HOXA10
HXA13_HUMAN.H11MO.0.C	HOXA13
HXA1_HUMAN.H11MO.0.C	HOXA1
HXB7_HUMAN.H11MO.0.C	HOXB7
HXB8_HUMAN.H11MO.0.C	HOXB8
HXC9_HUMAN.H11MO.0.C	HOXC9
IKZF1_HUMAN.H11MO.0.C	IKZF1
INSM1_HUMAN.H11MO.0.C	INSM1
IRF7_HUMAN.H11MO.0.C	IRF7
IRF9_HUMAN.H11MO.0.C	IRF9
ITF2_HUMAN.H11MO.0.C	TCF4
KLF12_HUMAN.H11MO.0.C	KLF12
KLF8_HUMAN.H11MO.0.C	KLF8
KLF9_HUMAN.H11MO.0.C	KLF9
LHX3_HUMAN.H11MO.0.C	LHX3
MECP2_HUMAN.H11MO.0.C	MECP2
MTF1_HUMAN.H11MO.0.C	MTF1
MYF6_HUMAN.H11MO.0.C	MYF6
NF2L1_HUMAN.H11MO.0.C	NFE2L1
NFAC4_HUMAN.H11MO.0.C	NFATC4
NFIA_HUMAN.H11MO.0.C	NFIA
NKX28_HUMAN.H11MO.0.C	NKX2-8
NKX31_HUMAN.H11MO.0.C	NKX3-1
NKX32_HUMAN.H11MO.0.C	NKX3-2
NOBOX_HUMAN.H11MO.0.C	NOBOX
NR1I2_HUMAN.H11MO.0.C	NR1I2
NR1I3_HUMAN.H11MO.0.C	NR1I3
NR2C1_HUMAN.H11MO.0.C	NR2C1
NR2E3_HUMAN.H11MO.0.C	NR2E3
NR4A2_HUMAN.H11MO.0.C	NR4A2
OSR2_HUMAN.H11MO.0.C	OSR2
OVOL1_HUMAN.H11MO.0.C	OVOL1
OZF_HUMAN.H11MO.0.C	ZNF146
PATZ1_HUMAN.H11MO.0.C	PATZ1
PAX6_HUMAN.H11MO.0.C	PAX6
PBX2_HUMAN.H11MO.0.C	PBX2
PEBB_HUMAN.H11MO.0.C	CBFB
PIT1_HUMAN.H11MO.0.C	POU1F1
PO2F1_HUMAN.H11MO.0.C	POU2F1
PO3F1_HUMAN.H11MO.0.C	POU3F1
PRDM6_HUMAN.H11MO.0.C	PRDM6
PRRX2_HUMAN.H11MO.0.C	PRRX2
RELB_HUMAN.H11MO.0.C	RELB
RORA_HUMAN.H11MO.0.C	RORA
RORG_HUMAN.H11MO.0.C	RORC
RXRB_HUMAN.H11MO.0.C	RXRB
SMCA1_HUMAN.H11MO.0.C	SMARCA1
SMCA5_HUMAN.H11MO.0.C	SMARCA5
SNAI1_HUMAN.H11MO.0.C	SNAI1
SOX17_HUMAN.H11MO.0.C	SOX17
SOX5_HUMAN.H11MO.0.C	SOX5
TBX3_HUMAN.H11MO.0.C	TBX3
TFDP1_HUMAN.H11MO.0.C	TFDP1
TFEB_HUMAN.H11MO.0.C	TFEB
THAP1_HUMAN.H11MO.0.C	THAP1
THA_HUMAN.H11MO.0.C	THRA
THB_HUMAN.H11MO.0.C	THRB
VEZF1_HUMAN.H11MO.0.C	VEZF1
WT1_HUMAN.H11MO.0.C	WT1
Z324A_HUMAN.H11MO.0.C	ZNF324
Z354A_HUMAN.H11MO.0.C	ZNF354A
ZBT14_HUMAN.H11MO.0.C	ZBTB14
ZBT18_HUMAN.H11MO.0.C	ZBTB18
ZBT48_HUMAN.H11MO.0.C	ZBTB48
ZBTB6_HUMAN.H11MO.0.C	ZBTB6
ZFP28_HUMAN.H11MO.0.C	ZFP28
ZFP82_HUMAN.H11MO.0.C	ZFP82
ZIM3_HUMAN.H11MO.0.C	ZIM3
ZN121_HUMAN.H11MO.0.C	ZNF121
ZN134_HUMAN.H11MO.0.C	ZNF134
ZN136_HUMAN.H11MO.0.C	ZNF136
ZN140_HUMAN.H11MO.0.C	ZNF140
ZN214_HUMAN.H11MO.0.C	ZNF214
ZN250_HUMAN.H11MO.0.C	ZNF250
ZN257_HUMAN.H11MO.0.C	ZNF257
ZN260_HUMAN.H11MO.0.C	ZNF260
ZN264_HUMAN.H11MO.0.C	ZNF264
ZN317_HUMAN.H11MO.0.C	ZNF317
ZN320_HUMAN.H11MO.0.C	ZNF320
ZN329_HUMAN.H11MO.0.C	ZNF329
ZN331_HUMAN.H11MO.0.C	ZNF331
ZN341_HUMAN.H11MO.0.C	ZNF341
ZN350_HUMAN.H11MO.0.C	ZNF350
ZN382_HUMAN.H11MO.0.C	ZNF382
ZN384_HUMAN.H11MO.0.C	ZNF384
ZN394_HUMAN.H11MO.0.C	ZNF394
ZN418_HUMAN.H11MO.0.C	ZNF418
ZN436_HUMAN.H11MO.0.C	ZNF436
ZN449_HUMAN.H11MO.0.C	ZNF449
ZN467_HUMAN.H11MO.0.C	ZNF467
ZN490_HUMAN.H11MO.0.C	ZNF490
ZN502_HUMAN.H11MO.0.C	ZNF502
ZN528_HUMAN.H11MO.0.C	ZNF528
ZN547_HUMAN.H11MO.0.C	ZNF547
ZN549_HUMAN.H11MO.0.C	ZNF549
ZN554_HUMAN.H11MO.0.C	ZNF554
ZN563_HUMAN.H11MO.0.C	ZNF563
ZN582_HUMAN.H11MO.0.C	ZNF582
ZN586_HUMAN.H11MO.0.C	ZNF586
ZN667_HUMAN.H11MO.0.C	ZNF667
ZN680_HUMAN.H11MO.0.C	ZNF680
ZN708_HUMAN.H11MO.0.C	ZNF708
ZN768_HUMAN.H11MO.0.C	ZNF768
ZN770_HUMAN.H11MO.0.C	ZNF770
ZN816_HUMAN.H11MO.0.C	ZNF816
ZNF18_HUMAN.H11MO.0.C	ZNF18
ZNF41_HUMAN.H11MO.0.C	ZNF41
ZNF76_HUMAN.H11MO.0.C	ZNF76
ZNF85_HUMAN.H11MO.0.C	ZNF85
ZNF8_HUMAN.H11MO.0.C	ZNF8
ZSC22_HUMAN.H11MO.0.C	ZSCAN22
ZSC31_HUMAN.H11MO.0.C	ZSCAN31
